metier;area_management;number_cell_management;number_cell_metier;number_cell_intersection
O_5_Zunique @ Chalutiers Arts dormants-10-12;Zone_3miles-2rectSud;52;129;12
O_5_Zunique @ Chalutiers Arts dormants-10-12;Zone_Coraux;48;129;7
O_5_Zunique @ Chalutiers Arts dormants-10-12;zone_FermG;702;129;129
O_5_Zunique @ Chalutiers Arts dormants-10-12;Zone_ZFH_FrayereSole;56;129;32
O_5_Zunique @ Chalutiers de fond exclusifs-10-12;zbsi_penatules;106;274;69
O_5_Zunique @ Chalutiers de fond exclusifs-10-12;Zone_3miles-2rectSud;52;274;16
O_5_Zunique @ Chalutiers de fond exclusifs-10-12;Zone_Coraux;48;274;12
O_5_Zunique @ Chalutiers de fond exclusifs-10-12;zone_FermG;702;274;274
O_5_Zunique @ Chalutiers de fond exclusifs-10-12;Zone_ZFH_FrayereSole;56;274;53
O_5_Zunique @ Chalutiers Dragueurs-10-12;zbsi_penatules;106;242;61
O_5_Zunique @ Chalutiers Dragueurs-10-12;Zone_3miles-2rectSud;52;242;16
O_5_Zunique @ Chalutiers Dragueurs-10-12;Zone_Coraux;48;242;6
O_5_Zunique @ Chalutiers Dragueurs-10-12;zone_FermG;702;242;242
O_5_Zunique @ Chalutiers Dragueurs-10-12;Zone_ZFH_FrayereSole;56;242;53
O_5_Zunique @ Chalutiers mixtes exclusifs-10-12;zbsi_penatules;106;81;13
O_5_Zunique @ Chalutiers mixtes exclusifs-10-12;Zone_3miles-2rectSud;52;81;6
O_5_Zunique @ Chalutiers mixtes exclusifs-10-12;Zone_Coraux;48;81;0
O_5_Zunique @ Chalutiers mixtes exclusifs-10-12;zone_FermG;702;81;81
O_5_Zunique @ Chalutiers mixtes exclusifs-10-12;Zone_ZFH_FrayereSole;56;81;26
O_5_Zunique @ Chalutiers Tamiseurs-10-12;zbsi_penatules;106;140;30
O_5_Zunique @ Chalutiers Tamiseurs-10-12;Zone_3miles-2rectSud;52;140;13
O_5_Zunique @ Chalutiers Tamiseurs-10-12;Zone_Coraux;48;140;0
O_5_Zunique @ Chalutiers Tamiseurs-10-12;zone_FermG;702;140;140
O_5_Zunique @ Chalutiers Tamiseurs-10-12;Zone_ZFH_FrayereSole;56;140;41
O_5_Zunique @ Fileyeurs exclusifs-10-12;zbsi_penatules;106;22;2
O_5_Zunique @ Fileyeurs exclusifs-10-12;Zone_3miles-2rectSud;52;22;6
O_5_Zunique @ Fileyeurs exclusifs-10-12;Zone_Coraux;48;22;0
O_5_Zunique @ Fileyeurs exclusifs-10-12;zone_FermG;702;22;22
O_5_Zunique @ Fileyeurs exclusifs-10-12;Zone_ZFH_FrayereSole;56;22;0
O_5_Zunique @ Flottilles agrégées-0-10;zbsi_penatules;106;83;2
O_5_Zunique @ Flottilles agrégées-0-10;Zone_3miles-2rectSud;52;83;16
O_5_Zunique @ Flottilles agrégées-0-10;Zone_Coraux;48;83;0
O_5_Zunique @ Flottilles agrégées-0-10;zone_FermG;702;83;83
O_5_Zunique @ Flottilles agrégées-0-10;Zone_ZFH_FrayereSole;56;83;21
O_5_Zunique @ Flottilles agrégées-10-12;zbsi_penatules;106;15;5
O_5_Zunique @ Flottilles agrégées-10-12;Zone_3miles-2rectSud;52;15;0
O_5_Zunique @ Flottilles agrégées-10-12;Zone_Coraux;48;15;0
O_5_Zunique @ Flottilles agrégées-10-12;zone_FermG;702;15;15
O_5_Zunique @ Flottilles agrégées-10-12;Zone_ZFH_FrayereSole;56;15;9
O_5_Zunique @ Palangriers exclusifs-10-12;zbsi_penatules;106;11;0
O_5_Zunique @ Palangriers exclusifs-10-12;Zone_3miles-2rectSud;52;11;4
O_5_Zunique @ Palangriers exclusifs-10-12;Zone_Coraux;48;11;0
O_5_Zunique @ Palangriers exclusifs-10-12;zone_FermG;702;11;11
O_5_Zunique @ Palangriers exclusifs-10-12;Zone_ZFH_FrayereSole;56;11;1
O_HKE-Zunique @ bob_south-12-15;zbsi_penatules;106;25;0
O_HKE-Zunique @ bob_south-12-15;Zone_3miles-2rectSud;52;25;1
O_HKE-Zunique @ bob_south-12-15;Zone_Coraux;48;25;0
O_HKE-Zunique @ bob_south-12-15;zone_FermG;702;25;25
O_HKE-Zunique @ bob_south-12-15;Zone_ZFH_FrayereSole;56;25;8
O_HKE_Zhigh @ 15-Inf;zbsi_penatules;106;32;16
O_HKE_Zhigh @ 15-Inf;Zone_3miles-2rectSud;52;32;0
O_HKE_Zhigh @ 15-Inf;Zone_Coraux;48;32;0
O_HKE_Zhigh @ 15-Inf;zone_FermG;702;32;32
O_HKE_Zhigh @ 15-Inf;Zone_ZFH_FrayereSole;56;32;0
O_HKE_Zlow @ 15-Inf;zbsi_penatules;106;143;42
O_HKE_Zlow @ 15-Inf;Zone_3miles-2rectSud;52;143;3
O_HKE_Zlow @ 15-Inf;Zone_Coraux;48;143;2
O_HKE_Zlow @ 15-Inf;zone_FermG;702;143;143
O_HKE_Zlow @ 15-Inf;Zone_ZFH_FrayereSole;56;143;48
O_IN_CET-Zunique @ bob_north-12-15;zbsi_penatules;106;18;0
O_IN_CET-Zunique @ bob_north-12-15;Zone_3miles-2rectSud;52;18;4
O_IN_CET-Zunique @ bob_north-12-15;Zone_Coraux;48;18;0
O_IN_CET-Zunique @ bob_north-12-15;zone_FermG;702;18;18
O_IN_CET-Zunique @ bob_north-12-15;Zone_ZFH_FrayereSole;56;18;3
O_IN_CET-Zunique @ other-12-15;zbsi_penatules;106;14;2
O_IN_CET-Zunique @ other-12-15;Zone_3miles-2rectSud;52;14;3
O_IN_CET-Zunique @ other-12-15;Zone_Coraux;48;14;0
O_IN_CET-Zunique @ other-12-15;zone_FermG;702;14;14
O_IN_CET-Zunique @ other-12-15;Zone_ZFH_FrayereSole;56;14;0
O_IN_CET_Zhigh @ 15-Inf;zbsi_penatules;106;11;0
O_IN_CET_Zhigh @ 15-Inf;Zone_3miles-2rectSud;52;11;4
O_IN_CET_Zhigh @ 15-Inf;Zone_Coraux;48;11;0
O_IN_CET_Zhigh @ 15-Inf;zone_FermG;702;11;11
O_IN_CET_Zhigh @ 15-Inf;Zone_ZFH_FrayereSole;56;11;0
O_IN_CET_Zlow @ 15-Inf;zbsi_penatules;106;74;18
O_IN_CET_Zlow @ 15-Inf;Zone_3miles-2rectSud;52;74;11
O_IN_CET_Zlow @ 15-Inf;Zone_Coraux;48;74;1
O_IN_CET_Zlow @ 15-Inf;zone_FermG;702;74;74
O_IN_CET_Zlow @ 15-Inf;Zone_ZFH_FrayereSole;56;74;21
O_IN_CET_Zunique @ bob_south-12-15;zbsi_penatules;106;36;1
O_IN_CET_Zunique @ bob_south-12-15;Zone_3miles-2rectSud;52;36;12
O_IN_CET_Zunique @ bob_south-12-15;Zone_Coraux;48;36;0
O_IN_CET_Zunique @ bob_south-12-15;zone_FermG;702;36;36
O_IN_CET_Zunique @ bob_south-12-15;Zone_ZFH_FrayereSole;56;36;4
O_LOW-Zunique @ other-12-15;zbsi_penatules;106;38;2
O_LOW-Zunique @ other-12-15;Zone_3miles-2rectSud;52;38;6
O_LOW-Zunique @ other-12-15;Zone_Coraux;48;38;0
O_LOW-Zunique @ other-12-15;zone_FermG;702;38;38
O_LOW-Zunique @ other-12-15;Zone_ZFH_FrayereSole;56;38;0
O_low_activity_2_Zunique @ Chalutiers Arts dormants-10-12;zbsi_penatules;106;85;9
O_low_activity_2_Zunique @ Chalutiers Arts dormants-10-12;Zone_3miles-2rectSud;52;85;9
O_low_activity_2_Zunique @ Chalutiers Arts dormants-10-12;Zone_Coraux;48;85;0
O_low_activity_2_Zunique @ Chalutiers Arts dormants-10-12;zone_FermG;702;85;85
O_low_activity_2_Zunique @ Chalutiers Arts dormants-10-12;Zone_ZFH_FrayereSole;56;85;32
O_low_activity_2_Zunique @ Chalutiers de fond exclusifs-10-12;zbsi_penatules;106;137;24
O_low_activity_2_Zunique @ Chalutiers de fond exclusifs-10-12;Zone_3miles-2rectSud;52;137;21
O_low_activity_2_Zunique @ Chalutiers de fond exclusifs-10-12;Zone_Coraux;48;137;0
O_low_activity_2_Zunique @ Chalutiers de fond exclusifs-10-12;zone_FermG;702;137;137
O_low_activity_2_Zunique @ Chalutiers de fond exclusifs-10-12;Zone_ZFH_FrayereSole;56;137;41
O_low_activity_2_Zunique @ Chalutiers Dragueurs-10-12;zbsi_penatules;106;131;25
O_low_activity_2_Zunique @ Chalutiers Dragueurs-10-12;Zone_3miles-2rectSud;52;131;12
O_low_activity_2_Zunique @ Chalutiers Dragueurs-10-12;Zone_Coraux;48;131;0
O_low_activity_2_Zunique @ Chalutiers Dragueurs-10-12;zone_FermG;702;131;131
O_low_activity_2_Zunique @ Chalutiers Dragueurs-10-12;Zone_ZFH_FrayereSole;56;131;32
O_low_activity_2_Zunique @ Chalutiers mixtes exclusifs-10-12;zbsi_penatules;106;54;6
O_low_activity_2_Zunique @ Chalutiers mixtes exclusifs-10-12;Zone_3miles-2rectSud;52;54;9
O_low_activity_2_Zunique @ Chalutiers mixtes exclusifs-10-12;Zone_Coraux;48;54;0
O_low_activity_2_Zunique @ Chalutiers mixtes exclusifs-10-12;zone_FermG;702;54;54
O_low_activity_2_Zunique @ Chalutiers mixtes exclusifs-10-12;Zone_ZFH_FrayereSole;56;54;24
O_low_activity_2_Zunique @ Chalutiers Tamiseurs-10-12;zbsi_penatules;106;79;6
O_low_activity_2_Zunique @ Chalutiers Tamiseurs-10-12;Zone_3miles-2rectSud;52;79;10
O_low_activity_2_Zunique @ Chalutiers Tamiseurs-10-12;Zone_Coraux;48;79;0
O_low_activity_2_Zunique @ Chalutiers Tamiseurs-10-12;zone_FermG;702;79;79
O_low_activity_2_Zunique @ Chalutiers Tamiseurs-10-12;Zone_ZFH_FrayereSole;56;79;32
O_low_activity_2_Zunique @ Fileyeurs exclusifs-10-12;zbsi_penatules;106;13;1
O_low_activity_2_Zunique @ Fileyeurs exclusifs-10-12;Zone_3miles-2rectSud;52;13;1
O_low_activity_2_Zunique @ Fileyeurs exclusifs-10-12;Zone_Coraux;48;13;0
O_low_activity_2_Zunique @ Fileyeurs exclusifs-10-12;zone_FermG;702;13;13
O_low_activity_2_Zunique @ Fileyeurs exclusifs-10-12;Zone_ZFH_FrayereSole;56;13;0
O_low_activity_2_Zunique @ Fileyeurs Métiers de l hameçon exclusifs-10-12;zbsi_penatules;106;33;2
O_low_activity_2_Zunique @ Fileyeurs Métiers de l hameçon exclusifs-10-12;Zone_3miles-2rectSud;52;33;4
O_low_activity_2_Zunique @ Fileyeurs Métiers de l hameçon exclusifs-10-12;Zone_Coraux;48;33;0
O_low_activity_2_Zunique @ Fileyeurs Métiers de l hameçon exclusifs-10-12;zone_FermG;702;33;33
O_low_activity_2_Zunique @ Fileyeurs Métiers de l hameçon exclusifs-10-12;Zone_ZFH_FrayereSole;56;33;6
O_low_activity_2_Zunique @ Flottilles agrégées-0-10;zbsi_penatules;106;69;1
O_low_activity_2_Zunique @ Flottilles agrégées-0-10;Zone_3miles-2rectSud;52;69;15
O_low_activity_2_Zunique @ Flottilles agrégées-0-10;Zone_Coraux;48;69;0
O_low_activity_2_Zunique @ Flottilles agrégées-0-10;zone_FermG;702;69;69
O_low_activity_2_Zunique @ Flottilles agrégées-0-10;Zone_ZFH_FrayereSole;56;69;14
O_low_activity_2_Zunique @ Flottilles agrégées-10-12;zbsi_penatules;106;14;0
O_low_activity_2_Zunique @ Flottilles agrégées-10-12;Zone_3miles-2rectSud;52;14;4
O_low_activity_2_Zunique @ Flottilles agrégées-10-12;Zone_Coraux;48;14;0
O_low_activity_2_Zunique @ Flottilles agrégées-10-12;zone_FermG;702;14;14
O_low_activity_2_Zunique @ Flottilles agrégées-10-12;Zone_ZFH_FrayereSole;56;14;4
O_low_activity_2_Zunique @ Palangriers exclusifs-0-10;zbsi_penatules;106;18;1
O_low_activity_2_Zunique @ Palangriers exclusifs-0-10;Zone_3miles-2rectSud;52;18;3
O_low_activity_2_Zunique @ Palangriers exclusifs-0-10;Zone_Coraux;48;18;0
O_low_activity_2_Zunique @ Palangriers exclusifs-0-10;zone_FermG;702;18;18
O_low_activity_2_Zunique @ Palangriers exclusifs-0-10;Zone_ZFH_FrayereSole;56;18;4
O_low_activity_2_Zunique @ Palangriers exclusifs-10-12;zbsi_penatules;106;28;0
O_low_activity_2_Zunique @ Palangriers exclusifs-10-12;Zone_3miles-2rectSud;52;28;1
O_low_activity_2_Zunique @ Palangriers exclusifs-10-12;Zone_Coraux;48;28;0
O_low_activity_2_Zunique @ Palangriers exclusifs-10-12;zone_FermG;702;28;28
O_low_activity_2_Zunique @ Palangriers exclusifs-10-12;Zone_ZFH_FrayereSole;56;28;11
O_LOW_Zhigh @ 15-Inf;zbsi_penatules;106;15;0
O_LOW_Zhigh @ 15-Inf;Zone_3miles-2rectSud;52;15;3
O_LOW_Zhigh @ 15-Inf;Zone_Coraux;48;15;0
O_LOW_Zhigh @ 15-Inf;zone_FermG;702;15;15
O_LOW_Zhigh @ 15-Inf;Zone_ZFH_FrayereSole;56;15;4
O_LOW_Zhigh @ bob_north-12-15;zbsi_penatules;106;19;15
O_LOW_Zhigh @ bob_north-12-15;Zone_3miles-2rectSud;52;19;0
O_LOW_Zhigh @ bob_north-12-15;Zone_Coraux;48;19;0
O_LOW_Zhigh @ bob_north-12-15;zone_FermG;702;19;19
O_LOW_Zhigh @ bob_north-12-15;Zone_ZFH_FrayereSole;56;19;7
O_LOW_Zlow @ 15-Inf;zbsi_penatules;106;270;79
O_LOW_Zlow @ 15-Inf;Zone_3miles-2rectSud;52;270;19
O_LOW_Zlow @ 15-Inf;Zone_Coraux;48;270;10
O_LOW_Zlow @ 15-Inf;zone_FermG;702;270;270
O_LOW_Zlow @ 15-Inf;Zone_ZFH_FrayereSole;56;270;47
O_LOW_Zlow @ bob_north-12-15;zbsi_penatules;106;42;15
O_LOW_Zlow @ bob_north-12-15;Zone_3miles-2rectSud;52;42;3
O_LOW_Zlow @ bob_north-12-15;Zone_Coraux;48;42;0
O_LOW_Zlow @ bob_north-12-15;zone_FermG;702;42;42
O_LOW_Zlow @ bob_north-12-15;Zone_ZFH_FrayereSole;56;42;2
O_LOW_Zunique @ bob_south-12-15;zbsi_penatules;106;42;0
O_LOW_Zunique @ bob_south-12-15;Zone_3miles-2rectSud;52;42;12
O_LOW_Zunique @ bob_south-12-15;Zone_Coraux;48;42;0
O_LOW_Zunique @ bob_south-12-15;zone_FermG;702;42;42
O_LOW_Zunique @ bob_south-12-15;Zone_ZFH_FrayereSole;56;42;9
O_metier_OTH-Zunique @ 15-Inf;zbsi_penatules;106;50;0
O_metier_OTH-Zunique @ 15-Inf;Zone_3miles-2rectSud;52;50;6
O_metier_OTH-Zunique @ 15-Inf;Zone_Coraux;48;50;1
O_metier_OTH-Zunique @ 15-Inf;zone_FermG;702;50;50
O_metier_OTH-Zunique @ 15-Inf;Zone_ZFH_FrayereSole;56;50;6
O_metier_OTH-Zunique @ bob_north-12-15;zbsi_penatules;106;127;39
O_metier_OTH-Zunique @ bob_north-12-15;Zone_3miles-2rectSud;52;127;10
O_metier_OTH-Zunique @ bob_north-12-15;Zone_Coraux;48;127;0
O_metier_OTH-Zunique @ bob_north-12-15;zone_FermG;702;127;127
O_metier_OTH-Zunique @ bob_north-12-15;Zone_ZFH_FrayereSole;56;127;35
O_metier_OTH-Zunique @ bob_south-12-15;zbsi_penatules;106;136;40
O_metier_OTH-Zunique @ bob_south-12-15;Zone_3miles-2rectSud;52;136;15
O_metier_OTH-Zunique @ bob_south-12-15;Zone_Coraux;48;136;0
O_metier_OTH-Zunique @ bob_south-12-15;zone_FermG;702;136;136
O_metier_OTH-Zunique @ bob_south-12-15;Zone_ZFH_FrayereSole;56;136;47
O_metier_OTH-Zunique @ other-12-15;zbsi_penatules;106;50;6
O_metier_OTH-Zunique @ other-12-15;Zone_3miles-2rectSud;52;50;10
O_metier_OTH-Zunique @ other-12-15;Zone_Coraux;48;50;0
O_metier_OTH-Zunique @ other-12-15;zone_FermG;702;50;50
O_metier_OTH-Zunique @ other-12-15;Zone_ZFH_FrayereSole;56;50;0
O_metier_OTH_Zunique @ Caseyeurs Métiers de l hameçon exclusifs-10-12;zbsi_penatules;106;23;0
O_metier_OTH_Zunique @ Caseyeurs Métiers de l hameçon exclusifs-10-12;Zone_3miles-2rectSud;52;23;2
O_metier_OTH_Zunique @ Caseyeurs Métiers de l hameçon exclusifs-10-12;Zone_Coraux;48;23;0
O_metier_OTH_Zunique @ Caseyeurs Métiers de l hameçon exclusifs-10-12;zone_FermG;702;23;23
O_metier_OTH_Zunique @ Caseyeurs Métiers de l hameçon exclusifs-10-12;Zone_ZFH_FrayereSole;56;23;5
O_metier_OTH_Zunique @ Chalutiers Arts dormants-10-12;zbsi_penatules;106;175;46
O_metier_OTH_Zunique @ Chalutiers Arts dormants-10-12;Zone_3miles-2rectSud;52;175;18
O_metier_OTH_Zunique @ Chalutiers Arts dormants-10-12;Zone_Coraux;48;175;4
O_metier_OTH_Zunique @ Chalutiers Arts dormants-10-12;zone_FermG;702;175;175
O_metier_OTH_Zunique @ Chalutiers Arts dormants-10-12;Zone_ZFH_FrayereSole;56;175;50
O_metier_OTH_Zunique @ Chalutiers de fond exclusifs-10-12;zbsi_penatules;106;184;46
O_metier_OTH_Zunique @ Chalutiers de fond exclusifs-10-12;Zone_3miles-2rectSud;52;184;22
O_metier_OTH_Zunique @ Chalutiers de fond exclusifs-10-12;Zone_Coraux;48;184;4
O_metier_OTH_Zunique @ Chalutiers de fond exclusifs-10-12;zone_FermG;702;184;184
O_metier_OTH_Zunique @ Chalutiers de fond exclusifs-10-12;Zone_ZFH_FrayereSole;56;184;50
O_metier_OTH_Zunique @ Chalutiers Dragueurs-10-12;zbsi_penatules;106;166;40
O_metier_OTH_Zunique @ Chalutiers Dragueurs-10-12;Zone_3miles-2rectSud;52;166;22
O_metier_OTH_Zunique @ Chalutiers Dragueurs-10-12;Zone_Coraux;48;166;0
O_metier_OTH_Zunique @ Chalutiers Dragueurs-10-12;zone_FermG;702;166;166
O_metier_OTH_Zunique @ Chalutiers Dragueurs-10-12;Zone_ZFH_FrayereSole;56;166;50
O_metier_OTH_Zunique @ Chalutiers mixtes exclusifs-10-12;zbsi_penatules;106;94;11
O_metier_OTH_Zunique @ Chalutiers mixtes exclusifs-10-12;Zone_3miles-2rectSud;52;94;10
O_metier_OTH_Zunique @ Chalutiers mixtes exclusifs-10-12;Zone_Coraux;48;94;0
O_metier_OTH_Zunique @ Chalutiers mixtes exclusifs-10-12;zone_FermG;702;94;94
O_metier_OTH_Zunique @ Chalutiers mixtes exclusifs-10-12;Zone_ZFH_FrayereSole;56;94;41
O_metier_OTH_Zunique @ Chalutiers Tamiseurs-10-12;zbsi_penatules;106;111;14
O_metier_OTH_Zunique @ Chalutiers Tamiseurs-10-12;Zone_3miles-2rectSud;52;111;10
O_metier_OTH_Zunique @ Chalutiers Tamiseurs-10-12;Zone_Coraux;48;111;4
O_metier_OTH_Zunique @ Chalutiers Tamiseurs-10-12;zone_FermG;702;111;111
O_metier_OTH_Zunique @ Chalutiers Tamiseurs-10-12;Zone_ZFH_FrayereSole;56;111;32
O_metier_OTH_Zunique @ Fileyeurs Caseyeurs exclusifs-0-10;zbsi_penatules;106;12;1
O_metier_OTH_Zunique @ Fileyeurs Caseyeurs exclusifs-0-10;Zone_3miles-2rectSud;52;12;1
O_metier_OTH_Zunique @ Fileyeurs Caseyeurs exclusifs-0-10;Zone_Coraux;48;12;0
O_metier_OTH_Zunique @ Fileyeurs Caseyeurs exclusifs-0-10;zone_FermG;702;12;12
O_metier_OTH_Zunique @ Fileyeurs Caseyeurs exclusifs-0-10;Zone_ZFH_FrayereSole;56;12;9
O_metier_OTH_Zunique @ Fileyeurs exclusifs-0-10;zbsi_penatules;106;19;3
O_metier_OTH_Zunique @ Fileyeurs exclusifs-0-10;Zone_3miles-2rectSud;52;19;3
O_metier_OTH_Zunique @ Fileyeurs exclusifs-0-10;Zone_Coraux;48;19;0
O_metier_OTH_Zunique @ Fileyeurs exclusifs-0-10;zone_FermG;702;19;19
O_metier_OTH_Zunique @ Fileyeurs exclusifs-0-10;Zone_ZFH_FrayereSole;56;19;1
O_metier_OTH_Zunique @ Fileyeurs exclusifs-10-12;zbsi_penatules;106;26;1
O_metier_OTH_Zunique @ Fileyeurs exclusifs-10-12;Zone_3miles-2rectSud;52;26;2
O_metier_OTH_Zunique @ Fileyeurs exclusifs-10-12;Zone_Coraux;48;26;0
O_metier_OTH_Zunique @ Fileyeurs exclusifs-10-12;zone_FermG;702;26;26
O_metier_OTH_Zunique @ Fileyeurs exclusifs-10-12;Zone_ZFH_FrayereSole;56;26;2
O_metier_OTH_Zunique @ Fileyeurs Métiers de l hameçon exclusifs-10-12;zbsi_penatules;106;43;5
O_metier_OTH_Zunique @ Fileyeurs Métiers de l hameçon exclusifs-10-12;Zone_3miles-2rectSud;52;43;1
O_metier_OTH_Zunique @ Fileyeurs Métiers de l hameçon exclusifs-10-12;Zone_Coraux;48;43;0
O_metier_OTH_Zunique @ Fileyeurs Métiers de l hameçon exclusifs-10-12;zone_FermG;702;43;43
O_metier_OTH_Zunique @ Fileyeurs Métiers de l hameçon exclusifs-10-12;Zone_ZFH_FrayereSole;56;43;18
O_metier_OTH_Zunique @ Flottilles agrégées-0-10;zbsi_penatules;106;85;3
O_metier_OTH_Zunique @ Flottilles agrégées-0-10;Zone_3miles-2rectSud;52;85;16
O_metier_OTH_Zunique @ Flottilles agrégées-0-10;Zone_Coraux;48;85;0
O_metier_OTH_Zunique @ Flottilles agrégées-0-10;zone_FermG;702;85;85
O_metier_OTH_Zunique @ Flottilles agrégées-0-10;Zone_ZFH_FrayereSole;56;85;21
O_metier_OTH_Zunique @ Flottilles agrégées-10-12;zbsi_penatules;106;98;18
O_metier_OTH_Zunique @ Flottilles agrégées-10-12;Zone_3miles-2rectSud;52;98;13
O_metier_OTH_Zunique @ Flottilles agrégées-10-12;Zone_Coraux;48;98;0
O_metier_OTH_Zunique @ Flottilles agrégées-10-12;zone_FermG;702;98;98
O_metier_OTH_Zunique @ Flottilles agrégées-10-12;Zone_ZFH_FrayereSole;56;98;35
O_metier_OTH_Zunique @ Palangriers exclusifs-0-10;zbsi_penatules;106;38;1
O_metier_OTH_Zunique @ Palangriers exclusifs-0-10;Zone_3miles-2rectSud;52;38;9
O_metier_OTH_Zunique @ Palangriers exclusifs-0-10;Zone_Coraux;48;38;0
O_metier_OTH_Zunique @ Palangriers exclusifs-0-10;zone_FermG;702;38;38
O_metier_OTH_Zunique @ Palangriers exclusifs-0-10;Zone_ZFH_FrayereSole;56;38;9
O_metier_OTH_Zunique @ Palangriers exclusifs-10-12;zbsi_penatules;106;41;5
O_metier_OTH_Zunique @ Palangriers exclusifs-10-12;Zone_3miles-2rectSud;52;41;4
O_metier_OTH_Zunique @ Palangriers exclusifs-10-12;Zone_Coraux;48;41;0
O_metier_OTH_Zunique @ Palangriers exclusifs-10-12;zone_FermG;702;41;41
O_metier_OTH_Zunique @ Palangriers exclusifs-10-12;Zone_ZFH_FrayereSole;56;41;17
O_MIX-Zunique @ other-12-15;zbsi_penatules;106;36;14
O_MIX-Zunique @ other-12-15;Zone_3miles-2rectSud;52;36;6
O_MIX-Zunique @ other-12-15;Zone_Coraux;48;36;0
O_MIX-Zunique @ other-12-15;zone_FermG;702;36;36
O_MIX-Zunique @ other-12-15;Zone_ZFH_FrayereSole;56;36;0
O_MIX_Zunique @ 15-Inf;zbsi_penatules;106;206;55
O_MIX_Zunique @ 15-Inf;Zone_3miles-2rectSud;52;206;21
O_MIX_Zunique @ 15-Inf;Zone_Coraux;48;206;2
O_MIX_Zunique @ 15-Inf;zone_FermG;702;206;206
O_MIX_Zunique @ 15-Inf;Zone_ZFH_FrayereSole;56;206;55
O_MIX_Zunique @ bob_north-12-15;zbsi_penatules;106;36;6
O_MIX_Zunique @ bob_north-12-15;Zone_3miles-2rectSud;52;36;6
O_MIX_Zunique @ bob_north-12-15;Zone_Coraux;48;36;0
O_MIX_Zunique @ bob_north-12-15;zone_FermG;702;36;36
O_MIX_Zunique @ bob_north-12-15;Zone_ZFH_FrayereSole;56;36;17
O_MIX_Zunique @ bob_south-12-15;zbsi_penatules;106;63;12
O_MIX_Zunique @ bob_south-12-15;Zone_3miles-2rectSud;52;63;14
O_MIX_Zunique @ bob_south-12-15;Zone_Coraux;48;63;0
O_MIX_Zunique @ bob_south-12-15;zone_FermG;702;63;63
O_MIX_Zunique @ bob_south-12-15;Zone_ZFH_FrayereSole;56;63;6
O_NEP-Zunique @ other-12-15;zbsi_penatules;106;69;33
O_NEP-Zunique @ other-12-15;Zone_3miles-2rectSud;52;69;6
O_NEP-Zunique @ other-12-15;Zone_Coraux;48;69;0
O_NEP-Zunique @ other-12-15;zone_FermG;702;69;69
O_NEP-Zunique @ other-12-15;Zone_ZFH_FrayereSole;56;69;12
O_NEP_Zhigh @ 15-Inf;zbsi_penatules;106;64;27
O_NEP_Zhigh @ 15-Inf;Zone_3miles-2rectSud;52;64;7
O_NEP_Zhigh @ 15-Inf;Zone_Coraux;48;64;0
O_NEP_Zhigh @ 15-Inf;zone_FermG;702;64;64
O_NEP_Zhigh @ 15-Inf;Zone_ZFH_FrayereSole;56;64;16
O_NEP_Zhigh @ bob_north-12-15;zbsi_penatules;106;14;2
O_NEP_Zhigh @ bob_north-12-15;Zone_3miles-2rectSud;52;14;1
O_NEP_Zhigh @ bob_north-12-15;Zone_Coraux;48;14;0
O_NEP_Zhigh @ bob_north-12-15;zone_FermG;702;14;14
O_NEP_Zhigh @ bob_north-12-15;Zone_ZFH_FrayereSole;56;14;1
O_NEP_Zhigh @ bob_south-12-15;zbsi_penatules;106;13;5
O_NEP_Zhigh @ bob_south-12-15;Zone_3miles-2rectSud;52;13;0
O_NEP_Zhigh @ bob_south-12-15;Zone_Coraux;48;13;0
O_NEP_Zhigh @ bob_south-12-15;zone_FermG;702;13;13
O_NEP_Zhigh @ bob_south-12-15;Zone_ZFH_FrayereSole;56;13;10
O_NEP_Zlow @ 15-Inf;zbsi_penatules;106;180;58
O_NEP_Zlow @ 15-Inf;Zone_3miles-2rectSud;52;180;5
O_NEP_Zlow @ 15-Inf;Zone_Coraux;48;180;9
O_NEP_Zlow @ 15-Inf;zone_FermG;702;180;180
O_NEP_Zlow @ 15-Inf;Zone_ZFH_FrayereSole;56;180;40
O_NEP_Zlow @ bob_north-12-15;zbsi_penatules;106;125;47
O_NEP_Zlow @ bob_north-12-15;Zone_3miles-2rectSud;52;125;7
O_NEP_Zlow @ bob_north-12-15;Zone_Coraux;48;125;0
O_NEP_Zlow @ bob_north-12-15;zone_FermG;702;125;125
O_NEP_Zlow @ bob_north-12-15;Zone_ZFH_FrayereSole;56;125;36
O_NEP_Zlow @ bob_south-12-15;zbsi_penatules;106;128;39
O_NEP_Zlow @ bob_south-12-15;Zone_3miles-2rectSud;52;128;11
O_NEP_Zlow @ bob_south-12-15;Zone_Coraux;48;128;0
O_NEP_Zlow @ bob_south-12-15;zone_FermG;702;128;128
O_NEP_Zlow @ bob_south-12-15;Zone_ZFH_FrayereSole;56;128;40
O_NS_CEP-Zunique @ other-12-15;zbsi_penatules;106;88;31
O_NS_CEP-Zunique @ other-12-15;Zone_3miles-2rectSud;52;88;7
O_NS_CEP-Zunique @ other-12-15;Zone_Coraux;48;88;0
O_NS_CEP-Zunique @ other-12-15;zone_FermG;702;88;88
O_NS_CEP-Zunique @ other-12-15;Zone_ZFH_FrayereSole;56;88;29
O_NS_CEP_Zhigh @ 15-Inf;zbsi_penatules;106;188;67
O_NS_CEP_Zhigh @ 15-Inf;Zone_3miles-2rectSud;52;188;20
